feature	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae
S1	-6.09926585710291	-2.79446385028344	-8.96536452147777	-1.48257490524807	-2.41664769112918	-6.30793234917286	-7.47993759128786	-1.54383518688966	-9.99198935500948	-7.75803945737828	-5.64081574213663	-5.80714503096872	-6.43384132734037
S2	-10.1129863918433	-2.42524206506414	-13.3242382555746	-1.42025521004134	-2.70313939331946	-13.7417440104442	-12.7221152036952	-2.71774908564586	-8.06311599368201	-11.5349637881423	-12.468044196053	-5.46988596958036	-8.6731697799815
S3	-7.52094603381851	-4.41122330489405	-13.3242382555746	-2.95616139264273	-2.01315137032531	-13.7417440104442	-12.7221152036952	-3.91608395388088	-11.2468199489025	-11.5349637881423	-12.468044196053	-4.46205231296794	-11.9485749946299
S4	-7.77835286789081	-1.18103302387324	-5.1498424905699	-1.0911746163641	-5.77835270952477	-4.83228598250762	-8.36099037074956	-1.97307691711709	-8.42512064348749	-6.43242527042209	-11.468044196053	-3.20957526480404	-4.9991947162102
S5	-6.94353899493817	-2.10598763174361	-10.543551283979	-0.819668751233133	-2.49208782026595	-9.92960029573359	-7.63003950824814	-3.20429912517445	-7.42058613489517	-7.17882833925804	-9.92960029573359	-3.67584324395624	-6.15025926903544
S6	-11.2591432273527	-0.13677176178502	-13.3242382555746	-3.64790019018347	-6.60632102560303	-13.7417440104442	-11.2591432273527	-3.5940774836983	-11.2468199489025	-11.5349637881423	-11.2591432273527	-0.307321261034552	-9.02135833746269
S7	-9.52768309533928	-3.58109677211997	-4.62079218027249	-0.604172829491971	-4.68726372028764	-6.56940994211409	-10.7172494485234	-2.95410201459261	-7.2364514427212	-8.05679196368899	-9.80598332890535	-7.10790736632387	-3.84487294390617
S8	-5.85798102109608	-3.9337083317266	-13.3242382555746	-1.19199914250661	-5.99548453647839	-13.7417440104442	-12.7221152036952	-4.95986062899264	-6.92509521297003	-11.5349637881423	-8.73245022268854	-6.56252515306553	-6.92509521297003
S9	-7.96520696150106	-2.43961111775739	-8.62417021444312	-1.31319870466366	-5.43746946076394	-13.7417440104442	-10.0642898296145	-3.88625574597156	-8.41266613512473	-9.1716579221676	-9.06474248053936	-1.33682231022108	-8.34853564807815
S10	-7.98877149057334	-0.354293924355862	-9.52666544717904	-2.36187065315368	-6.33435482125094	-13.7417440104442	-8.25475331760142	-4.35140741765397	-9.505449559346	-10.111389606909	-10.2644570272491	-0.541667304517127	-8.26809096297605
S11	-7.0239919174654	-4.82124509202329	-13.3242382555746	-3.00734277848089	-0.487328393971634	-13.7417440104442	-12.7221152036952	-4.52665327647022	-10.2468199489025	-10.3982388370183	-7.04998710892911	-8.15327496961567	-7.40508204552197
S12	-9.13485402150605	-0.503070745816947	-13.3242382555746	-2.6919106095575	-5.36226457695315	-13.7417440104442	-12.7221152036952	-0.658445409266674	-6.6323538241007	-5.76562029032759	-12.468044196053	-10.7347341058539	-5.09046000045487
S13	-12.7221152036952	-1.66921832591489	-13.3242382555746	-0.768061891464705	-8.10939531099926	-8.23492612064234	-12.7221152036952	-3.16688087692289	-11.2468199489025	-8.69435801093256	-12.468044196053	-3.48490451608492	-5.00785733869195
S14	-12.7221152036952	-1.44149352832331	-5.25867185381644	-0.813375053936991	-6.22969283172085	-9.68912445035815	-12.7221152036952	-1.80686347740634	-7.22969272345315	-7.34927437395842	-12.468044196053	-6.93423681586749	-4.91433735269025
S15	-11.156781509723	-2.31123287285868	-6.09887432887115	-0.541729730286643	-3.4366687917266	-12.7417440104442	-12.7221152036952	-2.63202967607421	-8.54633330584237	-9.74273002423435	-7.90142805770195	-8.17794564917479	-6.00126347679669
S16	-10.2680104651069	-0.579737612523726	-8.42042820271241	-1.70923917009715	-5.845519280242	-10.5032083966199	-10.889909417687	-0.864028518724759	-11.2468199489025	-8.68346250968953	-5.17461133961326	-5.19803569311107	-4.91792778949449
S17	-6.17366160352071	-1.29783258989921	-8.76462282663821	-1.3027341625613	-2.63533980969324	-11.0860785183798	-6.78277011775038	-1.45173987530017	-9.91662612923799	-10.3866041365349	-7.61081737070648	-5.62302653225672	-10.2787235963222
S18	-5.28540219866452	-3.08823335162499	-8.17102408420165	-0.888105298000211	-3.80406234039025	-10.0689312117654	-6.42005173147507	-1.99330082511846	-8.03672314957492	-9.44111376122063	-4.99330083660655	-5.99719471371363	-6.58606172208478
S19	-8.40434474131466	-3.08167113252368	-7.52298937747146	-0.827622942577135	-3.72317836824569	-10.1783518201452	-8.81097038727323	-2.08094106776318	-6.70325626347909	-7.59819571278604	-9.63237314594858	-9.73473410585386	-5.59578514215894
S20	-7.33794752074282	-3.39655387838872	-6.97657877676294	-0.72152951332137	-3.34811459543032	-11.2276649958795	-9.26936039880691	-3.15101262903619	-8.34336083967906	-8.51600054746539	-5.99137575246754	-3.37627568832795	-6.97657877676294
S21	-6.84130229245281	-3.48080530991146	-13.3242382555746	-2.9505313250325	-2.0454429708535	-13.7417440104442	-12.7221152036952	-1.93708579185706	-11.2468199489025	-11.5349637881423	-12.468044196053	-10.7347341058539	-11.9485749946299
S22	-10.4277428313284	-0.61280742262182	-9.02147754097892	-1.60458054453092	-6.10554192197689	-13.7417440104442	-10.7491742159196	-0.729546779418273	-7.79520188468247	-7.98121389087196	-12.468044196053	-9.04895837832738	-4.66326185949023
S23	-12.7221152036952	-2.6463281280716	-9.26175871350306	-1.0474400191064	-6.78371178002498	-6.82118656492135	-12.7221152036952	-1.5692681741567	-5.69407460967306	-9.26175871350306	-12.468044196053	-4.33440444358684	-5.28775436484027
S24	-4.62188638464212	-2.50959592150026	-9.02610258681229	-1.31215560887968	-4.73909273223656	-9.46220148039957	-5.40500612196753	-3.05981639517809	-9.15734733498942	-9.09023302679738	-5.8285651474111	-1.54649785316058	-5.85617741822643
S25	-7.00312736440007	-3.06273271838192	-10.435713542437	-1.2380511544343	-2.29278868875195	-11.7566428868235	-7.78838850773192	-2.19227816893623	-8.34297759861684	-9.09505028241438	-6.94209796275935	-3.34650397230722	-6.77312187194123
S26	-9.41478120707337	-0.724148355174231	-7.55228470620569	-1.50080397386261	-4.99156988483327	-8.62628541592023	-9.41478120707337	-0.854622205262408	-7.62628541592023	-9.70428837132672	-7.48189552015869	-9.28925057116575	-7.87421307188691
S27	-9.77971989759684	-2.41611896400222	-7.17768328675008	-1.27192471391421	-5.12764266062119	-8.37762111128786	-9.77971989759684	-1.02173415012775	-7.33914680563355	-8.33914657203086	-9.49961138163745	-7.54268027758625	-7.32028781782165
S28	-5.62549676625159	-1.9122266563015	-13.3242382555746	-0.636592215812916	-4.51360387555046	-10.5806293877777	-6.49223022281943	-2.13095726633775	-9.09426626473021	-11.5349637881423	-7.31665862035533	-5.70194880440212	-8.65369363184234
S29	-8.51954711435584	-2.70731475086549	-7.47118383680326	-1.0235102397376	-4.67748231650316	-7.23751152887986	-8.80905373155083	-1.56376492950989	-6.53603496938351	-7.56958752279429	-12.468044196053	-9.58666131021438	-3.92641048477205
S30	-8.95058504771666	-3.5119954437037	-9.7870862134641	-0.535772995433165	-4.41453215978314	-13.7417440104442	-10.0097276322497	-2.09609063597675	-8.23688944178682	-8.55004724791254	-10.4237739291255	-8.20212371274295	-7.61716121202179
S31	-11.7221152036952	-2.09738833693055	-6.07988266671473	-1.763911134338	-7.57757132284833	-9.60505256803724	-11.7221152036952	-4.01317015164188	-7.4147208951609	-8.62366764796312	-12.468044196053	-0.888518380563651	-7.23224273126033
S32	-7.12608988728069	-1.26870121882538	-13.3242382555746	-1.01905964335074	-4.95616484105376	-10.1968589490983	-9.71105238800185	-1.42169212133829	-11.2468199489025	-8.81796768493256	-7.43094450437336	-6.05897563645922	-6.73704761851997
S33	-12.7221152036952	-4.30092833173993	-13.3242382555746	-0.341191554946179	-5.82133918900338	-13.7417440104442	-12.7221152036952	-3.44788076198975	-11.2468199489025	-11.5349637881423	-12.468044196053	-5.19330791360467	-5.11084575634523
S34	-12.7221152036952	-2.9259702135105	-10.7541490313349	-0.78235283007792	-7.69404428589821	-8.63746078051287	-12.7221152036952	-1.79777256309289	-6.29350650116456	-9.33790013957556	-12.468044196053	-4.57634935887489	-5.67968914673471
S35	-12.7221152036952	-7.62877030678402	-13.3242382555746	-6.99489805964051	-0.0187212297850335	-13.7417440104442	-12.7221152036952	-7.62877030678402	-11.2468199489025	-11.5349637881423	-12.468044196053	-10.7347341058539	-11.9485749946299
S36	-8.63299501824878	-3.55617960787199	-13.3242382555746	-2.93950823783155	-3.50371218131093	-13.7417440104442	-12.7221152036952	-3.6217679404224	-11.2468199489025	-11.5349637881423	-8.04803251752763	-10.7347341058539	-11.9485749946299
S37	-10.1436660099327	-1.94820109910467	-13.3242382555746	-0.50887297149344	-6.19186758417185	-13.7417440104442	-12.7221152036952	-2.5376019031443	-6.37036846796121	-9.09565238798705	-12.468044196053	-7.4952596535712	-4.54403699680102
S38	-9.58608902738818	-1.17839651651313	-9.32305499117287	-1.5477188361097	-4.17330763740294	-13.7417440104442	-9.58608902738818	-5.55928911090313	-11.2468199489025	-11.5349637881423	-9.00112689628551	-1.39972727355256	-11.9485749946299
S39	-8.94934002538784	-3.61586099429384	-9.03180231143372	-1.63042103770334	-2.2951021699351	-13.7417440104442	-12.7221152036952	-2.33708618654767	-7.3379057412088	-10.5349637881423	-12.468044196053	-5.42577841041317	-8.47540926495874
S40	-11.0156891904884	-3.89544817860068	-13.3242382555746	-1.32297356910757	-4.376840454896	-13.7417440104442	-12.7221152036952	-2.40854930330009	-11.2468199489025	-11.5349637881423	-12.468044196053	-10.7347341058539	-11.9485749946299
S41	-9.38633088082402	-3.62785876633576	-12.3242382555746	-1.5885286517757	-4.42406378537023	-13.7417440104442	-12.7221152036952	-2.14585086941024	-11.2468199489025	-11.5349637881423	-8.86549889306376	-9.26603722639229	-11.9485749946299
S42	-12.7221152036952	-3.2527125813963	-13.3242382555746	-1.50690705842471	-5.653442214559	-10.4865537234558	-12.7221152036952	-3.43104981396989	-8.90136976431042	-10.4865537234558	-12.468044196053	-9.16440375623506	-7.02690064639428
S43	-12.7221152036952	-2.41934573443173	-8.54467680971142	-1.17835454648932	-1.53226024124561	-10.6392469365221	-12.7221152036952	-2.77396015339124	-8.57570381073754	-9.3988259639687	-12.468044196053	-10.7347341058539	-5.67720084495487
S44	-12.7221152036952	-1.09294071972996	-13.3242382555746	-1.56592978194412	-5.60498255996641	-13.7417440104442	-12.7221152036952	-1.21434171319879	-7.26209484104209	-11.5349637881423	-12.468044196053	-8.37757216918888	-8.96253466991003
S45	-10.3866041365349	-1.55230166900042	-13.3242382555746	-0.726115073440523	-10.3866041365349	-13.7417440104442	-12.7221152036952	-1.5724498885405	-11.2468199489025	-11.5349637881423	-12.468044196053	-10.7347341058539	-11.9485749946299
S46	-12.7221152036952	-3.40407488586415	-13.3242382555746	-0.604067792763631	-6.88786078136054	-13.7417440104442	-12.7221152036952	-2.00380087157587	-11.2468199489025	-8.67445715179408	-12.468044196053	-10.7347341058539	-5.40392815749297
S47	-12.7221152036952	-3.96974741882878	-13.3242382555746	-0.323666185955528	-6.29936591376928	-13.7417440104442	-12.7221152036952	-2.62207155647106	-7.25045624511353	-8.3499918245183	-12.468044196053	-10.7347341058539	-6.15734692309993
S48	-12.7221152036952	-1.12850924789741	-13.3242382555746	-1.04491941548504	-4.9033567320611	-13.7417440104442	-12.7221152036952	-1.56890917974377	-11.2468199489025	-7.67154114858483	-12.468044196053	-3.7767233111266	-7.54225801398808
S49	-8.4889355143195	-3.15223675201856	-9.94836687379635	-1.53368199511795	-6.19347968838455	-13.7417440104442	-12.7221152036952	-1.73526301200111	-11.2468199489025	-8.62643934906204	-12.468044196053	-6.59081521683254	-10.9485749946299
S50	-11.1968589490983	-2.82532168240966	-13.3242382555746	-1.1754702794055	-5.85021246284233	-3.26919715165426	-12.7221152036952	-2.9671686058591	-8.61102466025133	-8.7809498732288	-12.468044196053	-1.94568887922671	-6.32151819690009
